ad,marka,fiyat,indirimli_fiyat,indirim_orani,url,kategori,site,zaman
Derimod zero kadın siyah bağcıklı kalın tabanlı sneaker,Derimod,4749.99,2399.99,49.5,https://derimod.com.tr/products/derimod-zero-kadin-gri-bagcikli-kalin-tabanli-sneaker-25sfe49556f,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın siyah bağcıklı kalın tabanlı deri sneaker,Derimod,4999.99,,0.0,https://derimod.com.tr/products/kadin-bej-bagcikli-kalin-tabanli-deri-sneaker-25afd290218-5637145330,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın siyah bağcıklı süet deri sneaker,Derimod,5749.99,2299.99,60.0,https://derimod.com.tr/products/kadin-kahverengi-bagcikli-suet-deri-sneaker-25afd370910-5637145360,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın siyah bağcıklı kalın tabanlı deri sneaker,Derimod,5499.99,4399.99,20.0,https://derimod.com.tr/products/kadin-siyah-bagcikli-kalin-tabanli-deri-sneaker-25afd3700ft-5637145339,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın siyah bağcıklı kalın tabanlı desenli deri sneaker,Derimod,6749.99,3999.99,40.7,https://derimod.com.tr/products/kadin-bej-bagcikli-kalin-tabanli-desenli-deri-sneaker-25afd142114-5637145330,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın vizon bağcıklı kalın tabanlı süet deri sneaker,Derimod,4499.99,,0.0,https://derimod.com.tr/products/kadin-vizon-bagcikli-suet-deri-sneaker-25afd500710-5637145755,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın gümüş kalın tabanlı yandan fermuarlı deri sneaker,Derimod,4999.99,3199.99,36.0,https://derimod.com.tr/products/kadin-beyaz-kalin-tabanli-yandan-fermuarli-bagcikli-deri-sneaker-25sfd3702sm,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Derimod zero kadın gri kalın tabanlı sneaker,Derimod,3999.99,2199.99,45.0,https://derimod.com.tr/products/derimod-zero-kadin-siyah-kalin-tabanli-sneaker-25sfe49546f,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın vizon bağcıklı kalın tabanlı süet deri sneaker,Derimod,5499.99,,0.0,https://derimod.com.tr/products/kadin-kahverengi-bagcikli-kalin-tabanli-suet-deri-sneaker-25afd511110-5637145360,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın beyaz bağcıklı kalın tabanlı deri sneaker,Derimod,4499.99,2999.99,33.3,https://derimod.com.tr/products/kadin-beyaz-bagcikli-kalin-tabanli-deri-sneaker-25sfd510918,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın beyaz bağcıklı kalın tabanlı kumaş sneaker,Derimod,4999.99,2799.99,44.0,https://derimod.com.tr/products/kadin-mavi-bagcikli-kalin-tabanli-kumas-sneaker-25sfe48576f,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Derimod zero kadın gri kumaş kalın tabanlı sneaker,Derimod,3999.99,1999.99,50.0,https://derimod.com.tr/products/derimod-zero-kadin-bej-kumas-kalin-tabanli-sneaker-25sfe49516f,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın taba bağcıklı süet deri sneaker,Derimod,4999.99,2999.99,40.0,https://derimod.com.tr/products/kadin-kahverengi-bagcikli-suet-deri-sneaker-25afd420310-5637145360,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın beyaz dolgu topuklu bağcıklı deri sneaker,Derimod,5249.99,3299.99,37.1,https://derimod.com.tr/products/kadin-beyaz-dolgu-topuklu-bagcikli-deri-sneaker-25sfd370814,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Derimod zero kadın gri bağcıklı sneaker,Derimod,3999.99,1799.99,55.0,https://derimod.com.tr/products/derimod-zero-kadin-siyah-bagcikli-sneaker-25sfd43016f,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Geox kadın bej ilde kalın tabanlı deri sneaker,Derimod,5499.99,3999.99,27.3,https://derimod.com.tr/products/geox-kadin-bej-ilde-kalin-tabanli-deri-sneaker-d25rab0nfekc2235,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Geox kadın beyaz zosma kalın tabanlı bağcıklı deri sneaker,Derimod,6499.99,3999.99,38.5,https://derimod.com.tr/products/geox-kadin-beyaz-zosma-kalin-tabanli-bagcikli-deri-sneaker-d368la08504c1000,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın siyah bağcıklı kalın tabanlı deri sneaker,Derimod,6749.99,2699.99,60.0,https://derimod.com.tr/products/kadin-bej-bagcikli-kalin-tabanli-deri-sneaker-25afd142014-5637145330,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın taba bağcıklı kalın tabanlı süet deri sneaker,Derimod,4999.99,2999.99,40.0,https://derimod.com.tr/products/kadin-bej-bagcikli-kalin-tabanli-suet-deri-sneaker-25afd221110-5637145330,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Derimod studio kadın siyah bağcıklı kalın tabanlı sneaker,Derimod,8999.99,2699.99,70.0,https://derimod.com.tr/products/derimod-studio-kadin-gumus-bagcikli-kalin-tabanli-sneaker-25afd435114-5637145591,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın kahverengi bağcıklı süet deri sneaker,Derimod,5499.99,4399.99,20.0,https://derimod.com.tr/products/kadin-bej-bagcikli-suet-deri-sneaker-26pfd371210-5637145330,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın beyaz bağcıklı kalın tabanlı deri sneaker,Derimod,5999.99,,0.0,https://derimod.com.tr/products/kadin-beyaz-bagcikli-kalin-tabanli-deri-sneaker-26pfd370018-5637145326,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
